GeneID,FC0_1,FC0_2,FC0_3,FC1_1,FC1_2,FC1_3,FC3_1,FC3_2,FC3_3,FC2_1,FC2_2,FC2_3,DBM0_1,DBM0_2,DBM0_3,DBM25_1,DBM25_2,DBM25_3,DBM50_1,DBM50_2,DBM50_3,DBM75_1,DBM75_2,DBM75_3
FC1_1_k141_277_gene_200,88,938,1218,1532,748,1656,770,962,538,342,392,942,1450,832,298,1386,1690,748,754,804,2966,268,1274,22
FC1_1_k141_277_gene_201,0,0,0,20,0,0,0,0,0,0,0,0,2,0,2,4,16,0,0,0,0,0,0,2
FC1_1_k141_277_gene_203,114,1592,1742,9808,1774,2456,2206,2722,2078,4822,2472,5882,3148,2718,712,6320,10414,2616,7148,2264,7136,1278,2944,118
FC1_1_k141_277_gene_204,186,2140,3160,7010,2752,3530,3368,3738,2806,4240,3744,4878,4236,3658,1000,5800,7514,3506,6032,3756,8822,1816,3828,220
FC1_1_k141_290_gene_208,76,996,840,5400,552,1236,944,1122,718,2284,856,2570,1466,928,312,2986,4844,990,1942,1054,3460,458,826,38
FC1_1_k141_317_gene_219,176,1910,1960,11282,1618,2308,2362,2790,2334,6660,2748,6888,3438,2250,640,6496,10972,2600,8544,2256,10838,1230,3232,224
FC1_1_k141_326_gene_226,2,0,0,406,6,50,150,232,112,0,0,0,116,54,16,56,40,8,1186,784,2726,0,0,2
FC1_1_k141_326_gene_227,26,170,388,1130,20,50,194,438,108,80,30,224,320,88,92,162,164,16,2232,1152,4602,10,6,2
FC1_1_k141_326_gene_228,10,60,140,920,10,80,206,374,136,48,4,108,174,90,38,94,112,28,2564,1616,3896,8,2,0
FC1_1_k141_326_gene_229,0,0,0,830,6,56,120,238,90,0,0,0,72,12,14,40,72,14,2440,900,3262,0,0,0
FC1_1_k141_326_gene_230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
FC1_1_k141_326_gene_231,0,90,86,1188,12,86,194,414,104,0,0,0,142,76,76,96,70,30,3120,1562,5258,340,66,28
FC1_1_k141_326_gene_233,10,64,128,1158,34,106,164,372,156,2,0,0,134,72,40,72,48,14,4510,1156,4672,200,28,14
FC1_1_k141_326_gene_234,0,0,0,1296,48,252,550,1116,412,0,0,0,318,100,68,64,108,50,5720,2780,7078,0,0,0
FC1_1_k141_326_gene_237,4,384,550,1530,56,218,364,848,300,0,0,0,180,84,24,106,94,26,7120,1996,6406,586,108,86
FC1_1_k141_326_gene_238,8,20,36,712,4,64,140,222,92,0,0,0,64,48,20,62,98,0,2958,652,4182,194,12,32
FC1_1_k141_326_gene_245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
FC1_1_k141_338_gene_247,0,0,0,1362,126,330,686,1344,608,0,0,2,500,206,76,134,128,38,5860,4332,8206,1078,48,2
FC1_1_k141_338_gene_248,2,34,44,2194,130,362,1142,1934,1246,1454,1118,706,790,716,154,812,890,774,9164,4240,8666,1640,344,54
FC1_1_k141_338_gene_249,0,0,0,484,8,62,162,222,122,176,62,106,96,78,34,154,214,56,2202,558,2496,52,32,0
FC1_1_k141_346_gene_254,0,70,48,1390,62,150,716,936,532,1086,694,584,506,522,126,628,782,418,2970,1794,4562,416,36,26
FC1_1_k141_361_gene_260,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0
FC1_1_k141_374_gene_263,0,2266,0,784,360,10,132,60,0,10,0,4,0,0,8,0,0,32,0,4,0,120,0,1052
FC1_1_k141_374_gene_264,0,922,0,652,428,4,92,106,0,6,0,2,0,0,0,0,4,12,0,0,0,118,0,1230
FC1_1_k141_374_gene_265,0,1126,0,574,430,6,104,108,0,6,2,0,0,0,0,0,4,4,0,6,0,80,0,1152
FC1_1_k141_374_gene_266,0,1690,0,640,440,10,116,108,0,4,0,2,0,0,2,0,0,44,0,2,2,100,0,1308
FC1_1_k141_374_gene_268,0,1422,0,914,578,16,134,108,4,8,0,0,0,0,0,4,0,42,0,2,0,156,0,2014
FC1_1_k141_374_gene_269,0,1358,0,788,636,12,160,116,14,6,0,6,0,0,2,0,0,24,0,2,2,164,0,1432
FC1_1_k141_380_gene_273,0,2124,0,3158,3150,76,670,874,18,14,8,0,0,0,0,2,4,150,2,6,4,126,0,5772
FC1_1_k141_385_gene_275,0,6,32,1686,86,272,2026,2144,2230,4884,3464,2698,826,2278,250,2378,2908,2268,4560,2542,3294,170,1300,74
FC1_1_k141_385_gene_276,0,0,0,1210,40,64,766,560,556,2506,844,1586,332,874,114,1466,2132,810,2104,1054,1900,60,274,16
FC1_1_k141_385_gene_277,0,0,0,1046,6,32,470,432,448,1844,408,1068,306,564,86,1160,1854,802,1920,702,1968,2,36,22
FC1_1_k141_400_gene_282,8,2,56,398,20,22,216,206,278,1048,94,770,312,214,42,888,1190,362,812,106,790,4,124,10
FC1_1_k141_417_gene_286,80,1988,1192,11294,4270,4826,3592,3732,3294,6750,5228,7934,4094,4544,1272,8326,11958,4060,5484,1868,3758,212,4124,166
FC1_1_k141_417_gene_287,42,1014,838,8412,2476,3060,2672,2652,2188,4970,3238,5466,3284,3578,992,6744,9868,3108,3986,1520,3460,126,3084,122
FC1_1_k141_451_gene_293,0,0,0,11416,1228,3054,8,0,4,8,0,0,44,8,10,0,0,0,2,0,0,10,230,30
FC1_1_k141_453_gene_294,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
FC1_1_k141_454_gene_296,140,2016,2386,16148,1780,2380,2428,2924,2400,7526,2878,8666,3888,2276,632,8052,13186,2896,11496,2214,12376,1514,3114,222
FC1_1_k141_454_gene_297,218,3078,3656,12214,2822,4340,3848,4600,3316,6382,4710,7010,4786,4398,1382,8108,11958,3632,7372,4122,9558,1266,3108,168
FC1_1_k141_454_gene_298,102,1342,1732,8618,1180,1874,2058,2646,1828,4184,2082,4358,3548,2048,396,5592,7624,2576,5166,1890,11132,1126,2560,110
FC1_1_k141_454_gene_299,82,1204,1460,11732,912,1692,1854,2292,1710,4994,2026,6190,2942,1866,538,6586,10722,2256,7328,1630,10170,1156,2312,124
FC1_1_k141_454_gene_300,142,1776,1914,12542,1446,2128,1956,2742,1922,6432,2490,7410,3250,2040,492,6622,11854,2152,8456,1920,11392,1130,2716,162
FC1_1_k141_454_gene_301,332,4444,4900,23178,3886,4782,4216,5630,4660,13200,5768,16624,5948,4192,904,11608,19012,4444,19640,3810,15344,2152,5522,484
FC1_1_k141_454_gene_302,326,3518,4100,5744,4208,3872,3458,3828,3272,4540,4328,4650,3302,3186,1078,4268,4906,3378,4632,2800,3456,1338,3480,206
FC1_1_k141_454_gene_303,600,9324,9438,19926,9554,8840,7178,9232,8082,13426,11088,15720,7740,6858,1926,11866,17364,7436,16240,6270,14344,2992,8510,592
FC1_1_k141_454_gene_304,288,3392,3798,21286,3182,4182,3158,4902,3728,12110,4424,15464,4848,3494,794,10354,18786,3762,18474,3094,14874,1932,4214,286
FC1_1_k141_454_gene_305,326,3492,4720,12942,3466,4060,3654,4636,3688,8030,4512,8982,4944,3616,1058,7844,11792,3834,10844,3360,10494,1660,4058,302
FC1_1_k141_454_gene_306,94,1450,1202,2302,1418,1040,772,1320,1026,2016,1374,2260,922,718,192,1278,2010,882,2440,754,1348,398,1170,84
FC1_1_k141_454_gene_307,578,5408,6562,20128,4770,6114,5016,6514,5232,11696,6548,13530,6860,5584,1622,11652,18332,5128,15530,5342,13578,2430,6370,354
FC1_1_k141_454_gene_308,792,12190,13824,20742,11364,12270,10254,12528,10558,15430,14310,17138,11140,9330,2916,14032,18296,9940,17510,9346,15732,3952,9706,650
FC1_1_k141_454_gene_310,274,3638,4260,13770,3138,4038,3588,4766,3920,8160,4732,8810,5516,3730,942,8538,12624,4098,11662,3406,13444,1922,5010,422
FC1_1_k141_454_gene_311,608,7642,8684,14726,6874,8300,6454,8470,7150,11418,9686,12050,7550,6064,1752,9918,13218,6572,12850,5848,12728,2602,7738,508
FC1_1_k141_454_gene_312,144,2150,2054,4604,2262,3480,3060,3130,2302,3270,3696,3298,4046,3650,1004,4206,4524,2872,3038,3164,9794,1542,3258,244
FC1_1_k141_454_gene_314,74,636,1148,3276,770,896,1104,1078,720,1644,788,1718,1080,1072,246,1948,2500,842,1906,1044,2156,534,1304,80
FC1_1_k141_454_gene_315,88,1128,1224,5918,1090,1784,1736,1856,1522,3076,1822,3266,2434,1702,468,3512,5066,1634,3742,1580,4996,738,1816,142
FC1_1_k141_454_gene_316,318,4384,5300,13124,4064,4668,4182,4836,3976,8068,5394,9952,4708,4114,1064,8444,13068,3994,10254,3924,11762,2040,4924,266
FC1_1_k141_454_gene_317,180,2690,2676,14270,3438,4718,4582,5432,3664,7950,5236,8126,5838,5556,1576,8946,13448,4444,9040,4548,10708,2188,5040,254
FC1_1_k141_455_gene_320,6,5328,0,1590,1198,30,226,242,4,16,0,0,0,0,2,6,0,40,0,6,6,22,0,2122
FC1_1_k141_457_gene_322,0,0,0,30,0,0,26,6,8,2,70,8,28,0,2,0,0,0,0,0,0,152,0,0
FC1_1_k141_466_gene_329,128,978,1514,6152,638,1432,1780,1784,1288,2488,1556,2698,2510,1834,516,4356,5652,1950,2826,2244,7740,1008,2038,142
FC1_1_k141_490_gene_336,214,3220,2336,11140,8826,8992,6808,7174,6448,8206,9208,9138,6402,7054,1744,9380,11204,6826,9068,6324,8090,200,6536,190
FC1_1_k141_490_gene_338,16,154,146,3052,330,836,728,744,634,1630,726,1952,1102,974,260,2900,3996,1126,2370,1122,5204,98,652,38
FC1_1_k141_490_gene_339,0,4,12,194,14,48,28,60,34,58,28,80,66,32,16,132,224,82,106,40,186,0,34,0
FC1_1_k141_492_gene_342,82,486,846,7936,902,2474,666,762,496,1748,662,1222,638,876,224,1066,1612,626,3656,1528,4014,822,462,84
FC1_1_k141_492_gene_343,148,1046,1454,7264,1070,1606,1230,1734,1334,3972,1216,5160,1964,1674,378,4514,7614,1368,6966,1532,8078,1064,1758,116
FC1_1_k141_492_gene_344,120,718,944,4928,584,1464,1528,1530,1044,2344,1082,2876,2348,2208,592,4158,5860,1798,3544,1846,6034,1148,1688,88
FC1_1_k141_492_gene_345,72,844,1160,4202,882,1210,1306,1370,1104,2044,1216,2388,1776,1678,394,3020,4178,1380,2706,1696,5796,944,1392,74
FC1_1_k141_492_gene_346,134,588,1076,3804,582,1454,1210,1372,726,1634,1018,1580,1750,2166,460,2952,3906,1314,2404,1894,4224,922,1170,52
FC1_1_k141_492_gene_347,22,108,106,1658,52,338,594,282,242,588,122,928,760,844,322,1710,1980,610,902,1004,2410,650,530,30
FC1_1_k141_492_gene_348,136,668,642,3212,598,1044,1118,1208,764,1652,942,2016,1984,1422,380,2832,4226,1470,2346,1506,3940,1112,1410,122
FC1_1_k141_492_gene_349,44,968,1032,6670,672,1140,1338,1622,1206,3196,1400,4628,2218,1584,374,5256,8232,1790,5312,1378,7850,1158,1792,124
FC1_1_k141_492_gene_350,224,2418,3598,11332,2228,3222,3102,3720,3030,6446,3496,8268,4962,3796,934,8454,12542,3986,11442,3922,10616,2806,4864,340
FC1_1_k141_496_gene_353,368,5322,4896,15006,4550,5550,5198,6862,5488,9622,6722,10712,6914,4952,1518,9196,12964,5492,11670,5074,14272,2664,6788,412
FC1_1_k141_496_gene_354,292,4288,4442,13118,3646,5152,4306,5374,4322,8454,5870,8608,5570,4190,1258,7876,11862,4366,8484,4332,10950,1740,4330,338
FC1_1_k141_496_gene_355,534,6278,6052,16522,6006,7426,6014,7612,6406,10942,8604,13220,7982,6548,1678,10856,14440,6082,13380,5518,13472,2730,6762,412
FC1_1_k141_496_gene_356,216,3324,4362,10744,3088,4400,3602,4266,3404,6024,4628,6978,4634,3888,1106,7158,10598,3772,7346,3710,9398,1692,3548,200
FC1_1_k141_496_gene_357,238,2788,3086,13534,2728,3616,3358,4116,3176,7748,4102,8574,4640,3382,798,7702,11780,3574,10902,3130,12058,1410,4130,292
FC1_1_k141_496_gene_358,300,3800,4168,17334,3148,4710,4402,5232,4390,10038,5354,11346,6068,4392,1134,10002,15854,4540,14072,4030,12506,2312,5302,352
FC1_1_k141_496_gene_359,244,2456,2670,9526,2304,3516,3430,3612,2932,5552,3494,5660,4252,3498,1018,6484,9012,3238,5878,3402,9354,1596,3450,212
FC1_1_k141_496_gene_360,328,3660,4716,14584,3622,5508,5794,6576,4804,8522,5582,9024,8136,5396,1584,10292,14538,5886,10306,5476,12108,2950,6666,358
FC1_1_k141_496_gene_361,80,1092,1304,9170,1076,1922,1920,2272,1510,4538,1904,4900,2802,1944,512,5118,8522,2144,6226,2038,8768,1086,2018,108
FC1_1_k141_496_gene_362,592,7718,7718,19794,7274,7894,6036,8788,6982,14668,9130,16840,7624,6564,1700,11562,17080,6176,20074,5434,13614,2796,7718,538
FC1_1_k141_501_gene_365,0,0,0,480,256,8,48,46,0,0,0,0,0,0,0,0,0,38,0,0,0,16,0,290
FC1_1_k141_505_gene_370,160,2024,2474,13678,1410,2314,2318,2942,2044,6610,2526,7336,3314,2494,712,6770,11228,2540,8672,2388,10600,1262,3000,184
FC1_1_k141_505_gene_371,416,3436,4056,15318,2742,3934,4250,5136,4224,8206,5374,9268,5174,5060,1436,8656,13450,4490,10478,3790,9490,1260,5766,388
FC1_1_k141_505_gene_372,286,2830,3498,13020,1946,3806,3912,4390,3020,5688,3552,6884,5620,4736,1276,8552,10840,4064,6644,3666,10052,1586,4808,314
FC1_1_k141_505_gene_373,4,44,42,764,8,68,84,58,50,264,44,308,108,76,24,406,726,126,342,76,472,38,76,0
FC1_1_k141_506_gene_375,6,72,54,112,86,14,168,132,122,176,78,646,326,154,38,882,1538,222,6,0,48,16,288,4
FC1_1_k141_508_gene_378,158,1132,2036,2654,110,238,1288,1716,1372,4268,1768,2606,1582,1766,464,2018,2668,1492,7560,2650,7452,1522,496,134
FC1_1_k141_508_gene_379,48,282,420,1384,26,54,564,560,388,1888,490,1248,740,692,154,1364,1722,526,2938,1088,5904,708,338,52
FC1_1_k141_508_gene_380,38,206,552,1728,16,118,728,760,524,2670,626,1778,940,1002,344,1670,2268,670,4128,1394,5738,748,106,64
FC1_1_k141_508_gene_381,128,1256,2156,1916,114,148,1254,1488,1230,3452,1836,2324,1258,1466,412,1592,1908,1110,6186,2304,7500,1262,120,74
FC1_1_k141_508_gene_382,228,2498,3790,2484,210,526,2476,3190,2554,5214,4034,2950,2428,3386,954,2310,2918,2490,7416,5138,7524,2244,1220,188
FC1_1_k141_508_gene_383,142,1208,2102,2318,70,256,1124,1592,1250,3850,1686,2706,1452,1614,368,1684,2384,1244,7882,2212,8424,1368,802,144
